Group/ship,CruiseID,JD_GMT,date,time,lat,long,xCO2_equilibrator,xCO2_atmospheric,xCO2_atm_interpolated,equilibrator_pressure,pressure_atmospheric,equilibrator_temp,sea_surface_temp,salinity,fCO2SW_uatm,fCO2ATM_uatm_interpolated,DFCO2_uatm,LICOR_flow,H2O_flow,wind_speed_true,wind_direction_true,Type,WOCE_QC_FLAG,SUBFLAG
,,,yyyymmdd,hh:mm:ss,decimal,decimal,ppm,ppm,ppm,hPa,hPa,oC,oC,psu,uatm,uatm,uatm,mL/min,litres/min,knots,degrees,,,
CSIRO/RTM Wakmatha,WK201212N,345.8929,20121210,21:25:50,-22.7575,151.105,413.36,-999,391.39,1014.35,1015.9,26.06,25.837,35.484,395.78,378.61,17.18,96.27,2.73,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201212N,347.8181,20121212,19:38:01,-13.8182,144.1921,404.38,-999,391.38,1009.49,1010.8,27.83,27.639,35.343,384.39,375.27,9.12,88.19,2.78,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201212S,354.0698,20121219,1:40:29,-23.7779,151.4513,458.92,-999,391.59,1011.31,1011.6,26.65,26.365,36.104,436.58,376.77,59.81,93.3,2.5,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201302N,37.0722,20130206,1:44:00,-16.9402,146.0657,444.49,-999,392.45,1010.93,1012.3,30.07,29.821,34.839,420.17,374.99,45.18,90.22,2.45,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201302S,41.2356,20130210,5:39:20,-10.9003,141.5179,444.45,-999,391.66,1006.38,1007,30.24,29.9,33.885,416.66,372.12,44.54,84.95,2.34,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201302S,41.0684,20130210,1:38:29,-11.799,141.4998,427.13,-999,391.57,1008.96,1010,30.13,29.89,33.868,403,373.22,29.78,85.97,2.14,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201302S,42.9172,20130211,22:00:50,-14.332,144.6827,408.67,-999,391.28,1009.01,1010,28.88,28.616,35.27,386.37,374.05,12.31,86.78,2.32,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201302S,42.4862,20130211,11:40:09,-12.475,143.3949,375.05,-999,392.15,1007.36,1008.7,29.33,29.054,35.251,353.47,374.01,-20.54,85.11,2.41,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201302S,45.185,20130214,4:26:21,-23.5693,151.4467,405.92,-999,391.56,1011.94,1012.2,26.96,26.633,33.524,385.56,376.74,8.83,86.18,2.28,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201303N,63.4476,20130304,10:44:29,-18.8965,147.1695,426.48,-999,393.44,1001.5,1003.5,29.58,29.343,34.949,399.85,372.97,26.88,85.59,2.18,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201303N,64.7054,20130305,16:55:45,-12.8077,143.587,464.69,-999,392.77,1003.76,1005.5,29.41,29.233,34.701,437.81,373.2,64.61,88.19,2.06,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201303N,64.3029,20130305,7:16:09,-14.5607,145.0038,435.9,-999,392.99,1001.97,1003.1,29.73,29.402,35.059,407.44,372.34,35.1,84.63,2.55,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201303S,70.5019,20130311,12:02:40,-17.0641,146.0687,417.78,-999,392.63,1008.27,1009.1,29.13,28.914,34.59,395.15,374.71,20.44,85.43,2.39,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201303S,70.4979,20130311,11:56:58,-17.0444,146.063,418.22,-999,392.62,1008.17,1009,29.12,28.894,34.669,395.39,374.69,20.71,86.02,2.39,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201303S,70.0218,20130311,0:31:26,-14.877,145.3462,448.93,-999,392.08,1007.95,1008.1,29.54,29.283,34.367,423.46,373.51,49.94,85.75,2.03,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201404S,103.8932,20140413,21:26:08,-14.557,145.2076,414.25,-999,394.75,1007.8,1009.1,27.36,27.115,34.091,392.67,378.22,14.45,97.84,2.26,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201404S,104.2111,20140414,5:03:56,-16.1349,145.5283,420.56,-999,394.6,1007,1008.1,27.62,27.343,33.97,397.66,377.53,20.12,96.04,2.34,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201405N,109.4089,20140419,9:48:50,-20.8234,149.7679,398.72,-999,393.54,1013.74,1015.9,27.13,26.879,35.141,380.35,379.9,0.45,99.78,2.25,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201405S,116.7199,20140426,17:16:41,-14.5979,145.3166,422.5,-999,395.74,1009.58,1010.9,27.43,27.192,34.212,401.28,379.84,21.45,98.66,2.15,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201405S,118.0821,20140428,1:58:10,-20.1184,149.0992,402.72,-999,394.6,1013.02,1014.3,26.89,26.57,35.198,383.1,380.54,2.56,97.31,2.34,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201406N,151.6361,20140531,15:16:00,-19.786,148.5393,377.71,-999,394.49,1013,1015.2,25.21,24.945,35.232,361.13,381.95,-20.82,95.35,2.15,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201406N,152.0104,20140601,0:15:01,-18.4656,146.6023,373.34,-999,396.13,1014.18,1016.4,25.21,24.949,35.292,357.44,384.04,-26.59,96.68,2.14,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201406S,159.3218,20140608,7:43:22,-17.2859,146.1343,375.74,-999,394.75,1012.03,1013.5,24.75,24.515,35.223,359.59,381.88,-22.28,98.89,1.96,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201407N,193.4444,20140712,10:39:54,-21.3745,150.2588,350.91,-999,396.2,1019.05,1021.1,22.13,21.836,35.4,338.84,387.92,-49.08,99.54,2.1,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201407N,194.6079,20140713,14:35:26,-16.3651,145.6148,348.34,-999,395.84,1016.39,1018.2,23.52,23.313,35.202,335.88,385.55,-49.67,99.42,2.21,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201408N,234.9557,20140822,22:56:13,-22.7539,151.1183,333.97,-999,397.42,1019.18,1021.1,20.93,20.617,35.565,322.81,389.84,-67.03,99.42,2.5,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201408N,235.2706,20140823,6:29:41,-21.2788,150.2284,355.29,-999,397.42,1016.06,1018.1,21.78,21.491,35.464,342.29,388.18,-45.9,97.14,2.45,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201408N,237.1313,20140825,3:09:07,-13.3425,143.8773,370.51,-999,396.35,1013.43,1014.9,24.6,24.3,35.31,354.31,384.08,-29.77,98.31,2.38,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201409N,260.7655,20140917,18:22:19,-17.1795,146.1352,368.7,-999,395.46,1013.89,1016,24.49,24.236,35.397,353.42,383.71,-30.29,97.37,2.48,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201409N,261.8248,20140918,19:47:44,-12.3786,143.3414,390.65,-999,395.35,1012.1,1014.2,25.04,24.78,35.537,373.35,382.53,-9.18,97.02,2.48,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201409S,266.6305,20140923,15:07:56,-10.7182,142.6506,397.93,-999,395.91,1010.99,1011.8,25.53,25.329,35.7,380.4,381.77,-1.38,97.84,2.54,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201409S,269.3686,20140926,8:50:49,-21.4633,150.349,376.43,-999,396,1013.48,1015,23.37,23.068,35.559,360.67,384.61,-23.94,97.96,2.38,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201409S,270.2269,20140927,5:26:46,-23.8346,151.5193,364.67,-999,396,1013.52,1015.1,22.08,21.756,35.698,349.8,385.44,-35.64,98.01,2.46,-999,-999,EQU,2,-999
CSIRO/RTM Wakmatha,WK201410N,301.811,20141028,19:27:48,-16.7973,145.9471,392.15,-999,396.86,1011,1013,25.87,25.67,35.608,374.64,382.88,-8.23,96.62,2.13,-999,-999,EQU,2,-999
