"Summary: Andy and Terry's amazing treehouse now has 13 new storeys, including a tiny-horse level, a pyjama-party room, an Underpants Museum, a photo-bombing booth, a waiting room, a Door of Doom, a circus, a giant-fighting-robot arena, a traffic school, a water-ski park filled with flesh-eating piranhas and a treehouse visitor centre with a 24-hour information desk, a penguin-powered flying treehouse tour bus and a gift shop. Well, what are you waiting for? Come on up! (Publisher)",1231350,,PF GRI,371 pages : illustrations.,,,,,,9.78176E+12,,,,,"Sydney, New South Wales, Australia",2019,2019,,Andy Griffiths ; illustrated by Terry Denton.,,The 117-storey treehouse,,,,,Monograph,text,,,,,"Griffiths, AndyDenton, Terry",,Pan,Treehouse books; ,"Tree dwellings - FictionBooks and reading - FictionAuthors - FictionIllustrators - FictionCubbyhousesTreesBooksWritersIllustratorsFiction",,,"One-hundred-and-seventeen story treehouseOne-hundred-seventeen story treehouse117-story treehouseOne-hundred-seventeen storey treehouseOne-hundred-and-seventeen storey treehouse"
"Summary: Born from Levithan's tradition of writing a story for his friends each Valentine's Day, this anthology brings together a whole spectrum of romantic tales, including fiction, non-fiction and a story in verse. A diverse, witty and honest collection of all the things that can go right and wrong in love.",1266487,,MF LEV,310 pages.,,,,,,9.78192E+12,,,,,"Melbourne, Australia",2020,2020,,David Levithan.,,19 love songs,,,,,Monograph,text,,,,https://d2wzqffx6hjwip.cloudfront.net/06e/441/84a/06e44184ac20b51baa4e89b8aec7ec0ffc680737baf0c63f008068c4e0d4/TN_19%20LOVE%20SONGS.pdf,"Levithan, David",,Text Publishing,,"American short storiesShort storiesAmerican literatureFiction",,,Nineteen love songs
"Summary: When Australia throws its support behind Britain in its fight against Germany, young teacher Stan Moore is one of the first to join up, swapping the classroom for adventure in Europe. But the 11th Battalion is sent with the newly formed Anzac Corp to Gallipoli where Stan is confronted by the hard lessons of war. (Back cover)",1255597,,MF NIN: MUR,198 pages : maps.,,,,,,9.78174E+12,,,Includes historical notes.,,"Lindfield, NSW",2015,2015,,Sally Murphy.,,1915,,,,,Monograph,text,,,,,"Murphy, Sally",,Scholastic Australia,Australia's Great War; ,"Military campaignsAustralian historyArmy soldiersWorld War ISoldiers - Australia - FictionAustraliaGallipoli Campaign, 1915-1916 - FictionWorld War, 1914-1918 - Australia - FictionHistorical fictionWar storiesGallipoli (Turkey)",,,Nineteen fifteen
"Summary: The German planes patrolled in hunting squads. They flew fast fighting craft, streaking across the sky in tight formation. The greatest of them was the Red Barron, the deadliest ace on the Front. He'd shot down twenty-one of our planes in a single month. And now we were in his firing line. The war in France rages in the skies, and support for the war in Australia turns cold. Alex flies high above the trenches of the Western Front, while a world away his sister Maggie finds herself in the midst of political upheaval. Somehow, both must find the courage to fight on.",1255595,,MF NIN: GAR,260 pages.,,,,,,9.78174E+12,,,On cover: A deadlock war finds a new battlefield. Includes historical notes.,,"Lindfield, NSW",2017,2017,,Kelly Gardiner.,,1917,,,,,Monograph,text,,,,,"Gardiner, Kelly",,Scholastic Australia,Australia's Great War; ,"World War ISoldiers - Australia - FictionMilitary campaignsWorld War, 1914-1918 - Air operations - FictionWorld War, 1914-1918 - Australia - FictionAir pilotsAir pilots - FictionWorld War, 1914-1918 - Campaigns and battles - France - FictionAustralian history",,,Nineteen seventeen
"Summary: Did you know that you can make plastic, snow, and even a lava lamp in less than 30 minutes? Clear, step-by-step instructions guide readers through the exciting science projects, and Science Takeaway sidebars explain the chemistry behind these cool creations. Includes QR codes leading to additional content.",1231852,,TXT 540.76 COM,32 pages : colour illustrations.,,,,,,9.78154E+12,,,"Created in partnership with Science Buddies, an organization focused on STEM discovery through hands-on explorations.",,"Minneapolis, Minnesota",2019,2019,,Anna Leigh.,,30-minute chemistry projects,,,,,Monograph,text,,,,,"Leigh, Anna",Science Buddies,Lerner Publishing Group,30-minute makers; ,"Chemistry - ExperimentsMatterExperimentsProject-based learning",,,Chemistry projects
"Summary: Step-by-step instructions and photos guide readers through projects that introduce them to the science of food. While shaking up butter and cooking candy, readers will learn about molecules, matter, and taste with these fast and fun projects. Includes QR codes leading to additional content.",1231847,,TR 641.30078 LEI,32 pages : colour illustrations.,,,,,,9.78154E+12,,,"Created in partnership with Science Buddies, an organization focused on STEM discovery through hands-on explorations.",,"Minneapolis, Minnesota",2019,2019,,Anna Leigh.,,30-minute edible science projects,,,,,Monograph,text,,,,,"Leigh, Anna",Science Buddies,Lerner Publishing Group,30-minute makers; ,"Food - ExperimentsScience - ExperimentsExperimentsProject-based learningFood productsCookingRecipesTaste",,,Edible science projects
"Summary: From blowing bubbles to launching rockets, young scientists will love these exciting outdoor science projects. Clear step-by-step instructions guide readers through the project, and Science Takeaway sidebars cover the science behind the excitement. Includes QR codes leading to additional content.",1231849,,TR 507.8 LEI,32 pages : colour illustrations.,,,,,,9.78154E+12,,,"Created in partnership with Science Buddies, an organization focused on STEM discovery through hands-on explorations.",,"Minneapolis, Minnesota",2019,2019,,Anna Leigh.,,30-minute outdoor science projects,,,,,Monograph,text,,,,,"Leigh, Anna",Science Buddies,Lerner Publishing Group,30-minute makers; ,"Science - ExperimentsExperimentsOutdoor educationProject-based learning",,,Outside science projects
"Summary: Stuck inside on a rainy day? Why not build a paper rocket? Detailed, step-by-step instructions and photos make these projects fast, easy, and fun! Includes QR codes leading to additional content.",1231848,,TR 507.8 BAI,32 pages : colour illustrations.,,,,,,9.78154E+12,,,"Created in partnership with Science Buddies, an organization focused on STEM discovery through hands-on explorations.",,"Minneapolis, Minnesota",2019,2019,,Loren Bailey.,,30-minute rainy day science projects,,,,,Monograph,text,,,,,"Bailey, Loren",Science Buddies,Lerner Publishing Group,30-minute makers; ,"Science - ExperimentsEngineering - ExperimentsScienceExperimentsEngineeringProject-based learning",,,Rainy day science projects
"Summary: What can be created in 30 minutes or less? How about a robot? With clear step-by-step instructions and photos, these fun robotics projects with delight young makers and tech fans. Includes QR codes leading to additional content.",1231850,,TR 629.8 BAI,32 pages : colour illustrations.,,,,,,9.78154E+12,,,"Created in partnership with Science Buddies, an organization focused on STEM discovery through hands-on explorations.",,"Minneapolis, Minnesota",2019,2019,,Loren Bailey.,,30-minute robotics projects,,,,,Monograph,text,,,,,"Bailey, Loren",Science Buddies,Lerner Publishing Group,30-minute makers; ,"Robots - ExperimentsEngineering - Problems, exercises, etcRobotisationRobotsExperimentsProject-based learning",,,Robotics projects
"Summary: What can you do with recycled materials found in your home or at school in 30 minutes or less? How about making a pizza box oven? Clear step-by-step instructions and photos make these sustainable science projects fast, easy, and fun!ns. Includes QR codes leading to additional content.",1231851,,TR 507.8 BAI,32 pages : colour illustrations.,,,,,,9.78154E+12,,,"Created in partnership with Science Buddies, an organization focused on STEM discovery through hands-on explorations.",,"Minneapolis, Minnesota",2019,2019,,Loren Bailey.,,30-minute sustainable science projects,,,,,Monograph,text,,,,,"Bailey, Loren",Science Buddies,Lerner Publishing Group,30-minute makers; ,"Recycling (Waste, etc.) - ExperimentsScience - ExperimentsRecyclingExperimentsProject-based learningScienceSustainable development",,,Sustainable science projects
